id,primary_category,secondary_category,question,answer,urls
97e7f58a3b154facaa3a5c64d678c7bf,中华文化,中医,伏兔穴所属的经脉是什么？,足阳明胃经,"['https://zh.wikipedia.org/wiki/%E4%BC%8F%E5%85%94%E7%A9%B4', 'https://baike.baidu.com/item/%E4%BC%8F%E5%85%94%E7%A9%B4/3503684#:~:text\\u003d%E4%BA%BA%E4%BD%93%E7%A9%B4%E4%BD%8D%E5%90%8D%E4%BC%8F%E5%85%94%E7%A9%B4F%C3%BA%20t%C3%B9%EF%BC%88ST32%EF%BC%89%E5%B1%9E%E8%B6%B3%E9%98%B3%E6%98%8E%E8%83%83%E7%BB%8F%E3%80%82%E5%9C%A8%E5%A4%A7%E8%85%BF%E5%89%8D%E9%9D%A2%EF%BC%8C%E5%BD%93%E9%AB%82%E5%89%8D%E4%B8%8A%E6%A3%98%E4%B8%8E%E9%AB%8C%E9%AA%A8%E5%A4%96%E4%BE%A7%E7%AB%AF%E7%9A%84%E8%BF%9E%E7%BA%BF%E4%B8%8A%EF%BC%8C%E9%AB%8C%E9%AA%A8%E4%B8%8A%E7%BC%98%E4%B8%8A6%E5%AF%B8%E3%80%82%E4%BC%8F%E5%85%94%E5%88%AB%E5%90%8D%E5%A4%96%E4%B8%98%E3%80%81%E5%A4%96%E5%8B%BE%EF%BC%8C%E4%BD%8D%E4%BA%8E%E5%A4%A7']"
4d323244af584e998eeef6efe63887a1,中华文化,中医,剥取芸香科植物黄皮树树皮，除去粗皮，晒干后得到的中药药材叫什么？,黄柏,"['https://baike.baidu.com/item/%E9%BB%84%E6%9F%8F/13209903?fr=ge_ala', 'https://baike.baidu.com/item/%E9%BB%84%E6%9F%8F/13209903', '']"
046211fb952e40daaf425cf92306a016,中华文化,中医,”君药分量最多，臣药次之，使药又次之，不可令臣过于君。”出自哪本古代医学著作？,《脾胃论》,"['https://baike.baidu.com/item/%E5%90%9B%E8%87%A3%E4%BD%90%E4%BD%BF/4631245', 'https://baike.baidu.com/item/%E5%90%9B%E8%8D%AF/1334788']"
f73f6c2aff314b97adbf721b030ee4cc,中华文化,中医,商阳穴位于人体哪个部位？,手,"['https://baike.baidu.com/item/%E5%95%86%E9%98%B3?fromtitle=%E5%95%86%E9%98%B3%E7%A9%B4&fromid=7078762&fromModule=lemma_search-box', 'https://baike.baidu.com/item/%E5%95%86%E9%98%B3/3295761?fr\\u003dge_ala']"
b9af4e1541a6494aa917a4b173bea6e3,中华文化,中医,乳中穴属于哪个经脉系统？,足阳明胃经,"['https://baike.baidu.com/item/%E4%B9%B3%E4%B8%AD?fromtitle=%E4%B9%B3%E4%B8%AD%E7%A9%B4&fromid=7074928&fromModule=lemma_search-box', 'https://baike.baidu.com/item/%E4%B9%B3%E4%B8%AD/3652261?fr\\u003dge_ala', 'https://zh.wikipedia.org/wiki/%E4%B9%B3%E4%B8%AD%E7%A9%B4']"
e27583e51f274fe4b04d57c456e44648,中华文化,中医,”轻可去实，故疗伤寒，为解肌第一“描述的是哪一味中药？,麻黄,['https://baike.baidu.com/item/%E9%BA%BB%E9%BB%84/17041399?fr=ge_ala']
e2a38da06db54a87a48de036964a046b,中华文化,中医,创建了IgA肾病从虚、瘀、风湿辨治体系并提出IgA肾病五型辨证治疗新方案的哪位著名中医？,王永钧,"['https://baike.baidu.com/item/%E7%8E%8B%E6%B0%B8%E9%92%A7/1803881?fr=ge_ala', 'https://m.baidu.com/bh/m/detail/ar_9575437266473793320']"
1edf94a1544c408580a7971246098b7e,中华文化,中医,四物汤的最早记载在哪个文献中？,《仙授理伤续断秘方》,['https://baike.baidu.com/item/%E5%9B%9B%E7%89%A9%E6%B1%A4?fromModule=lemma_search-box']
88a7f6e014ec4cf19db9a545b266cd31,中华文化,中医,许润三被授予国医大师是哪一届？,第三届,"['https://baike.baidu.com/item/%E8%AE%B8%E6%B6%A6%E4%B8%89?fromModule=lemma_search-box', 'https://baike.baidu.com/link?url\\u003dS0gtRmDxH-Pxv5chFVwdNsZnotd-Wck9xUYXgGbJW0VzG4IpUEwvURTw4xO31E6mcHJU4KWPEajZl_g-7lQhFA4Ve5mbObg2Gg9nsuN8tn3', 'https://zh.wikipedia.org/wiki/%E8%AE%B8%E6%B6%A6%E4%B8%89']"
af0a86c0707d4c159b3d6090d9dbdec0,中华文化,中医,清朝哪本书提出了温病和时疫的防治原则及方法，形成了中医药防治瘟疫（传染病）的理论和实践体系？,《温热论》,"['https://zh.wikipedia.org/wiki/%E6%BA%AB%E7%86%B1%E8%AB%96', 'http://www.xinhuanet.com/politics/2016-12/06/c_1120064848.htm', 'https://baike.baidu.com/item/%E6%B8%A9%E7%83%AD%E8%AE%BA/1010194?fr\\u003dge_ala']"
1a6ec39f167842a996f21985d0139a11,中华文化,中医,创立了调气活血的“衡法”治则的是哪一位中医学家？,颜德馨,['https://baike.baidu.com/item/%E9%A2%9C%E5%BE%B7%E9%A6%A8/6583647?fr=ge_ala#5']
765148dc13df4af189484137fb96a48e,中华文化,中医,桂枝加葛根汤最早出自哪本医学著作？,《伤寒论》,"['https://zh.wikipedia.org/wiki/%E6%A1%82%E6%9E%9D%E5%8A%A0%E8%91%9B%E6%A0%B9%E6%B9%AF', 'https://baike.baidu.com/item/%E6%A1%82%E6%9E%9D%E5%8A%A0%E8%91%9B%E6%A0%B9%E6%B1%A4/6637348']"
e3c34eef0ef44750b48f05f084b0211f,中华文化,中医,青贝药材因外层两枚鳞片大小相近，顶端不抱合俗称什么？,开口子,"['https://zh.wikipedia.org/wiki/%E8%91%B1', 'https://www.med66.com/zhongyaoxue/ziliao/wx1912239607.shtml', 'http://www.zhongyoo.com/name/chuanbeimu_144.html', 'http://m.zhongyoo.com/name/chuanbeimu_144.html', 'https://www.med66.com/zhongyaoxue/ziliao/wx1912239607.shtml', 'http://www.zhongyoo.com/name/chuanbeimu_144.html', 'https://baike.baidu.com/item/%E4%B8%AD%E8%8D%AF%E6%9D%90/15524']"
e4270f643b4342cfb20a5f7ba0be4bcd,中华文化,中医,显脉香茶菜是哪一目的植物？,木兰藤目,['https://baike.baidu.com/item/%E6%98%BE%E8%84%89%E9%A6%99%E8%8C%B6%E8%8F%9C/4988664']
a21e880344fd486a8dd3a2ece1030617,中华文化,中医,”收肺气，补气不足，升也。酸以收逆气，肺寒气逆“ 描述的哪一味中药？,五味子,['https://baike.baidu.com/item/%E4%BA%94%E5%91%B3%E5%AD%90/304918']
3fd386e951b44cd986d6adfedaa12674,中华文化,中医,中药药材白芷是什么科？,伞形科,"['https://zh.wikipedia.org/wiki/%E7%99%BD%E8%8A%B7', 'https://zh.wikipedia.org/zh-hans/%E7%99%BD%E8%8A%B7', 'https://baike.baidu.com/item/%E7%99%BD%E8%8A%B7/471399']"
7b8623471ca14b9c8cf8b985d4d9d002,中华文化,中医,位于第3肋间隙并距前正中线4寸的腧穴，主治咳喘、胸痛、乳痈等疾病的是什么穴位？,膺窗穴,"['https://zh.wikipedia.org/wiki/%E8%86%BA%E7%AA%97%E7%A9%B4', 'https://baike.baidu.com/item/%E8%86%BA%E7%AA%97/16694063']"
81127caffd0742f4a37fa0daba3c29ce,中华文化,中医,狐惑病最早出现在哪本医学著作中？,《伤寒杂病论》,"['https://zh.wikipedia.org/wiki/%E7%8B%90%E6%83%91%E7%97%85', 'https://baike.baidu.com/item/%E9%87%91%E5%8C%AE%E8%A6%81%E7%95%A5/3011294?fr\\u003dge_ala']"
bb06c27c40c64113a834584d57878f8d,中华文化,中医,柴嵩岩入选了哪一届的国医大师？,第三届,['https://baike.baidu.com/item/%E6%9F%B4%E6%9D%BE%E5%B2%A9?fromtitle=%E6%9F%B4%E5%B5%A9%E5%B2%A9&fromid=7377040&fromModule=lemma_search-box']
ce0e8c4362f54e1784e4143295c6cabd,中华文化,中医,哪一年中国中医科学院西苑医院的“血瘀证与活血化瘀研究”获得了国家科技进步一等奖？,2003,['https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%B8%AD%E5%8C%BB%E7%A7%91%E5%AD%A6%E9%99%A2%E8%A5%BF%E8%8B%91%E5%8C%BB%E9%99%A2?fromModule=lemma_search-box']
d053b74b03294855aa23f07b3d5734df,中华文化,中医,大柴胡汤的出处是哪部中医经典著作？,《伤寒论》,"['https://zh.wikipedia.org/wiki/%E5%A4%A7%E6%9F%B4%E8%83%A1%E6%B1%A4', 'https://baike.baidu.com/item/%E5%A4%A7%E6%9F%B4%E8%83%A1%E6%B1%A4/4460178']"
11e89f131fcc48bb9b4c097e9266ed2e,中华文化,中医,距花山姜属于什么纲？,木兰纲,"['https://baike.baidu.com/item/%E8%B7%9D%E8%8A%B1%E5%B1%B1%E5%A7%9C?fromModule=lemma_search-box', 'https://baike.baidu.com/item/%E8%B7%9D%E8%8A%B1%E5%B1%B1%E5%A7%9C/552930']"
ea4af0606fa64a5a8eff288098357a78,中华文化,中医,孙光荣在哪一年被评为国医大师？,2014,"['https://baike.baidu.com/item/%E5%AD%99%E5%85%89%E8%8D%A3/62488590?fr=ge_ala', 'https://baike.baidu.com/item/%E5%AD%99%E5%85%89%E8%8D%A3/62488590?fr\\u003dge_ala', '\\nhttps://zh.wikipedia.org/wiki/%E5%9B%BD%E5%8C%BB%E5%A4%A7%E5%B8%88']"
4476c4271ca5492dbf17bff8d6735ad7,中华文化,中医,曹炳章在哪一部著作中表示进行舌诊时应将舌质和舌苔辨证结合，一般情况下二者反映病变是一致的，但也有不一致现象出现？,《辨舌指南》,"['https://zh.wikipedia.org/wiki/%E8%88%8C%E8%AF%8A', 'http://www.a-hospital.com/w/%E8%88%8C%E8%AF%8A', 'https://zhuanlan.zhihu.com/p/626164932', 'https://www.sohu.com/a/448337224_120918343', 'https://www.163.com/dy/article/CUDFM6K00521C9T8.html', 'http://www.a-hospital.com/w/%E8%88%8C%E8%AF%8A', 'https://zhuanlan.zhihu.com/p/626164932', 'https://www.sohu.com/a/448337224_120918343', 'https://www.163.com/dy/article/CUDFM6K00521C9T8.html']"
bb8d8141524541a2be9dd7898ccdc72a,中华文化,中华民俗,汉族民间常把寿星与福、禄二星结合起来祭祀，合称福、禄、寿，成为人们最受欢迎的三个福神，其中五福之说：”一寿，二富，三康宁，四攸好德，五考终命“是来自哪本书籍,《尚书·洪范》,"['https://baike.baidu.com/item/%E6%B4%AA%E8%8C%83/4246738?fr=ge_ala', 'https://baike.baidu.com/item/%E4%BA%94%E7%A6%8F/22416693?fr\\u003dge_ala', 'https://zh.wikipedia.org/wiki/%E4%BA%94%E7%A6%8F']"
fd47d691752d4144a305177f91edcc6e,中华文化,中医,董氏奇穴的创始人是谁？,董景昌,"['https://baike.baidu.com/item/%E8%91%A3%E6%99%AF%E6%98%8C/6870857?fromModule=search-result_lemma', 'https://zh.wikipedia.org/wiki/%E8%91%A3%E6%99%AF%E6%98%8C', 'https://baike.baidu.com/item/%E8%91%A3%E6%99%AF%E6%98%8C?fromModule\\u003dlemma_search-box']"
84c14f1896b247a5b28b9fcd78a08d31,中华文化,中医,清代编纂《汤头歌诀》的是哪位医家？,汪昂,"['https://baike.baidu.com/item/%E6%B1%A4%E5%A4%B4%E6%AD%8C%E8%AF%80/8456341', 'https://zh.wikipedia.org/wiki/%E6%96%B9%E5%8A%91%E6%AD%8C%E8%A8%A3', 'https://baike.baidu.com/item/%E6%B1%A4%E5%A4%B4%E6%AD%8C%E8%AF%80/8456341?fr\\u003dge_ala']"
cbe1262c8fe14ac798a1104d16479562,中华文化,中华民俗,明重修纪公庙记刻立于哪一年？,万历41年（1613年）,['https://baike.baidu.com/item/%E6%98%8E%E9%87%8D%E4%BF%AE%E7%BA%AA%E5%85%AC%E5%BA%99%E8%AE%B0/16186398']
030a1573f0ca488189c067f4caf0e790,中华文化,中医,“食医”最早出自哪一部典籍？,《周礼》,['https://baike.baidu.com/item/%E9%A3%9F%E5%8C%BB/4433390?fr=ge_ala']
59547154e0b64dcca92a2da105631ccb,中华文化,中医,《类证活人书》为宋·朱肱撰于哪一年？,1108年,['https://baike.baidu.com/item/%E7%B1%BB%E8%AF%81%E6%B4%BB%E4%BA%BA%E4%B9%A6?fromModule=lemma_search-box']
84c56e455ac04b4b85f8b6a1d33d41b7,中华文化,中华民俗,在道教中职能是”治病除灾，驱邪辟恶”和“庇护商贾，招财进宝”并且是护法四帅之一的财神是谁？,关公,"['https://baijiahao.baidu.com/s?id=1652979225674568815&wfr=spider&for=pc', 'https://baike.baidu.com/item/%E8%B4%A2%E7%A5%9E/376940']"
2268a30af11c4effa809af8938ffe230,中华文化,中医,中国中医科学院望京医院是在哪一年正式挂牌成立的？,1997,"['https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E4%B8%AD%E5%8C%BB%E7%A7%91%E5%AD%A6%E9%99%A2%E6%9C%9B%E4%BA%AC%E5%8C%BB%E9%99%A2', 'https://www.wjhospital.com.cn/Html/Index.html', 'https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%B8%AD%E5%8C%BB%E7%A7%91%E5%AD%A6%E9%99%A2%E6%9C%9B%E4%BA%AC%E5%8C%BB%E9%99%A2?fromModule\\u003dlemma_search-box']"
46559a8da9b145169471a77b7bdfb690,中华文化,中华民俗,据道教信仰，何氏九兄弟成仙的地点被改名为什么县名？,仙游县,"['https://zh.wikipedia.org/wiki/%E4%BD%95%E6%B0%8F%E4%B9%9D%E4%BB%99', 'https://baike.baidu.com/item/%E4%BB%99%E6%B8%B8%E5%8E%BF/3450344', 'https://baike.baidu.com/item/%E4%BD%95%E4%B9%9D%E4%BB%99/4122555?fr\\u003daladdin']"
51398bbc85884cfdb132baf8d3b3c12b,中华文化,中华民俗,中国神话中，被称为汉字创造者的人物是谁？,仓颉,"['https://baike.baidu.com/item/%E4%BB%93%E9%A2%89/735?fr=ge_ala', 'https://baike.baidu.com/item/%E4%BB%93%E9%A2%89%E9%80%A0%E5%AD%97/1318083?fr\\u003dge_ala', 'https://zh.wikipedia.org/wiki/%E4%BB%93%E9%A2%89']"
b4a10ea908a14cad8689a9868aae6470,中华文化,中医,哪本古籍里介绍枸杞“寒，无毒”？,《食疗本草》,"['https://zh.wikipedia.org/wiki/%E6%9E%B8%E6%9D%9E', 'https://www.qihuang.vip/content-89116.html', 'https://www.wiki8.cn/guji/20/benjingfengyuan/11751.html', 'https://www.xjlz365.com/zhongcaoyao/gouqizi-gujijizai.html', 'https://www.qihuang.vip/content-8425.html', 'https://baike.baidu.com/item/%E6%9E%B8%E6%9D%9E%E5%AD%90/22507837?fr\\u003dge_ala']"
833438fd66c24e33a3289e9f7bb0e664,中华文化,中华民俗,琉球国第二尚氏王朝时期，精通刺绣并以巧织龙袍入贡明朝的琉球士族女性是谁？,蔡红亨,"['https://baike.baidu.com/item/%E8%94%A1%E7%BA%A2%E4%BA%A8?fromModule=lemma_search-box', 'https://baike.baidu.com/item/%E8%94%A1%E5%A6%88%E5%A4%AB%E4%BA%BA/15776702?fr\\u003dge_ala', 'https://www.163.com/dy/article/IRS9IV5J0550IMZX.html']"
b389a36f57e44959afdce77dbeb7d861,中华文化,中华民俗,从哪个朝代起，元宵节张灯即成为法定之事，并逐渐成为民间习俗？,唐朝,['https://baike.baidu.com/item/%E5%85%83%E5%AE%B5%E8%8A%82/118213?fr=ge_ala']
786fcf4f4e554a47a66a55a619d137a4,中华文化,中华民俗,黄大仙灵签有多少枝运签？,100,['https://zh.wikipedia.org/wiki/%E9%BB%83%E5%A4%A7%E4%BB%99%E9%9D%88%E7%B1%A4']
af64d82183244a398752d8b3f98b20ee,中华文化,中华民俗,蹴鞠是现在足球的前身，是哪本古籍里记载了“踏鞠始于轩后，军中练武之剧，以革为元囊，实以毛发”？,《太平清话》,"['https://baike.baidu.com/item/%E8%B9%B4%E9%9E%A0/344001?fr=ge_ala', 'https://baike.baidu.com/item/%E8%B9%B4%E9%9E%A0/344001']"
acf32edac4d14589b082974e5389e24d,中华文化,中华民俗,《山海经》中描述的烛龙，其身体的颜色是什么？,赤色,"['https://baike.baidu.com/item/%E7%83%9B%E9%BE%99/3108577?fr=ge_ala', 'https://baike.baidu.com/item/%E7%83%9B%E9%BE%99/3108577?fr\\u003dge_ala']"
b102075174ec4b3ca07df492837aadea,中华文化,中华民俗,粉岭围是哪个家族在明朝万历年间兴建的？,彭氏家族,"['https://baike.baidu.com/item/%E7%B2%89%E5%B2%AD%E5%9B%B4?fromModule=lemma_search-box', 'https://baike.baidu.com/item/%E7%B2%89%E5%B2%AD%E5%9B%B4/3103302?fr\\u003daladdin', '\\nhttps://zh.wikipedia.org/wiki/%E7%B2%89%E5%B6%BA%E5%9C%8D']"
91ed8551c1e34219bf9defa1b3a42c67,中华文化,中华民俗,中国民间传说中龙母把一条失去尾巴的龙称为什么名字？,掘尾龙,"['https://zh.wikipedia.org/wiki/User:%E4%B8%89%E7%8C%8E/%E6%B2%99%E7%9B%9218', 'http://binyang.gov.cn/zjby/whly/klwy/t1619886.html', 'http://binyang.gov.cn/zjby/whly/klwy/t1619886.html', 'http://binyang.gov.cn/zjby/whly/klwy/t1619886.html', 'https://baike.baidu.com/item/%E6%8E%98%E5%B0%BE%E9%BE%99/4728583?fr\\u003daladdin']"
