中共当局为了19,A1-危害国家安全和利益、损害国家形象
習大 李明哲 被認罪,A1-煽动颠覆国家政权、推翻社会主义制度
草包  蠢才  庸才  文革余孽,A2-职业歧视内容
2019年东西南北贺新春,Z0-其他
C4炸药,A1-宣扬恐怖主义、极端主义
一带一路 影响,Z0-其他
上海副市长 落马 王岐山 签双规令,Z0-其他
专制到民主 王岐山,A1-煽动颠覆国家政权、推翻社会主义制度
中共 打压 封网 VPN,A1-危害国家安全和利益、损害国家形象
中共七中全会 孙政才 处理,A1-危害国家安全和利益、损害国家形象
中南海 整肃 政商关系,A3-违反商业道德
中南海急备印度抵制金砖峰会预案,A1-危害国家安全和利益、损害国家形象
中国 習近平 王岐山,Z0-其他
习近平  解散军区 组建 五大战区,Z0-其他
习近平 不会放弃 王岐山,A1-危害国家安全和利益、损害国家形象
习近平 政治转型 试水,A1-危害国家安全和利益、损害国家形象
习近平 毛泽东,Z0-其他
习近平 江泽民 反腐不会变 周永康 生,Z0-其他
习近平军中急升138将领,Z0-其他
习近平十九大前大开“杀”戒,A1-危害国家安全和利益、损害国家形象
人权恶棍 傅政华 陶晶,A4-侵害他人名誉权
令完成 被软禁  关塔纳摩海军基地,A1-危害国家安全和利益、损害国家形象
令计划 中办四旧部 免职 神秘失踪 核,A4-侵害他人名誉权
令计划 周永康 沈冰 河北副书记 赵勇,A1-危害国家安全和利益、损害国家形象
六四 十九大 三个代表,A1-危害国家安全和利益、损害国家形象
共产党 垄断法,A3-利用算法、数据、平台等优势，实施垄断和不正当竞争行为
共产党 枪炮 解放军 兵变,A1-煽动颠覆国家政权、推翻社会主义制度
关乐 七七事变,Z0-其他
刘晓波 服刑期间 读书笔记,A1-煽动颠覆国家政权、推翻社会主义制度
劉曉波被海葬,A1-危害国家安全和利益、损害国家形象
办警察证QQ,Z0-其他
北京 维权 十九大,A1-危害国家安全和利益、损害国家形象
十九大 李鴻忠,Z0-其他
十九大 王岐山  李顯龍 留任,Z0-其他
十九大人事破迷习现三架马车,A5-内容不准确，严重不符合科学常识或主流认知
十九大前  整肃 凤凰卫视,A1-危害国家安全和利益、损害国家形象
叫停国贼十九大,A1-煽动颠覆国家政权、推翻社会主义制度
吕锡文 立案调查 北京官员自危,A4-侵害他人名誉权
处理对中关系 最好等到十九大结束,A1-危害国家安全和利益、损害国家形象
大牌对王牌,Z0-其他
天津律师行业 政治委员  不满,A2-职业歧视内容
孟建柱 刺习,A1-煽动颠覆国家政权、推翻社会主义制度
山西座谈 李克强 壮士断腕 钢铁煤炭业,Z0-其他
庆亲王 曾庆红 丑闻缠身 难逃法网,A4-侵害他人名誉权
情定扬州下架 被指影射江泽民,A1-危害国家安全和利益、损害国家形象
政府打压 股市 房市,A3-违反商业道德
新军委竞争激烈 谁顶范长龙,Z0-其他
朝核 江派,A1-煽动分裂国家、破坏国家统一和社会稳定
李明哲 被认罪 中国党,A1-危害国家安全和利益、损害国家形象
歧山牌卫生纸,Z0-其他
毛邓习 70年发展,Z0-其他
潜规则 五年打破,A1-传播虚假有害信息
王73 留任 傀儡,A1-煽动颠覆国家政权、推翻社会主义制度
王岐山 李顯龍 十九大,Z0-其他
王岐山打虎忙未送花圈,A1-危害国家安全和利益、损害国家形象
盗国 孟建柱 王岐山 孙立军 盗国,A1-危害国家安全和利益、损害国家形象
石铭 政法部人员觉醒 中共末日,A1-煽动颠覆国家政权、推翻社会主义制度
穆罕默德军 中国 让步,A2-信仰歧视内容
空遗岐山去正声刁大一点是为犬,Z0-其他
罗荣桓,Z0-其他
美國 攻打 朝鮮 習特,A2-国别歧视内容
習近平  一人領導天下 威權政治,A1-危害国家安全和利益、损害国家形象
老郭 习庆丰,Z0-其他
膜蛤文化 蛤蟆死期 石涛 热搜,Z0-其他
連坐 言論自由空間 海外 翻牆,Z0-其他
重磅会议落幕 习近平讲话暗藏哪些玄机,Z0-其他
_快播波多野结衣,A1-宣扬暴力、淫秽色情
",俺去也",Z0-其他
?改组国台办班子,A1-危害国家安全和利益、损害国家形象
.【禁闻】温州事故引民愤 传媒特警抗命,A1-危害国家安全和利益、损害国家形象
.50fuck,A1-宣扬暴力、淫秽色情
.hdouga.,Z0-其他
.javtube.,A1-宣扬暴力、淫秽色情
.sokmil.,Z0-其他
·汽车遥控拦截器,Z0-其他
20ph.com,Z0-其他
3f9f.com,Z0-其他
40553.witfix.com,Z0-其他
aiavmm.com,Z0-其他
anemode.com,Z0-其他
av764.com,Z0-其他
avsex03.avgo78.com,A1-宣扬暴力、淫秽色情
"""ax268276.tumblr.com",Z0-其他
"""clinic.rubberlatexf",Z0-其他
"""ev456292.tumblr.com",Z0-其他
fs-jiatai.com,Z0-其他
"""gsvhscm754.tumblr.c",Z0-其他
